entry,path,row,col
0,training_data_singles/entry0.jpg,27.0,49.0
1,training_data_singles/entry1.jpg,32.0,37.0
2,training_data_singles/entry2.jpg,32.0,56.0
3,training_data_singles/entry3.jpg,23.0,29.0
4,training_data_singles/entry4.jpg,26.0,33.0
5,training_data_singles/entry5.jpg,32.0,25.0
6,training_data_singles/entry6.jpg,33.0,26.0
7,training_data_singles/entry7.jpg,41.0,22.0
8,training_data_singles/entry8.jpg,44.0,20.0
9,training_data_singles/entry9.jpg,33.0,42.0
10,training_data_singles/entry10.jpg,33.0,42.0
11,training_data_singles/entry11.jpg,38.0,31.0
12,training_data_singles/entry12.jpg,33.0,7.0
13,training_data_singles/entry13.jpg,31.0,25.0
14,training_data_singles/entry14.jpg,32.0,37.0
15,training_data_singles/entry15.jpg,36.0,0.0
16,training_data_singles/entry16.jpg,19.0,56.0
17,training_data_singles/entry17.jpg,19.0,53.0
18,training_data_singles/entry18.jpg,34.0,35.0
19,training_data_singles/entry19.jpg,37.0,63.0
20,training_data_singles/entry20.jpg,30.0,24.0
21,training_data_singles/entry21.jpg,30.0,24.0
22,training_data_singles/entry22.jpg,41.0,39.0
23,training_data_singles/entry23.jpg,40.0,37.0
24,training_data_singles/entry24.jpg,34.0,48.0
25,training_data_singles/entry25.jpg,32.0,50.0
26,training_data_singles/entry26.jpg,30.0,30.0
27,training_data_singles/entry27.jpg,40.0,22.0
28,training_data_singles/entry28.jpg,24.0,15.0
29,training_data_singles/entry29.jpg,17.0,8.0
30,training_data_singles/entry30.jpg,32.0,43.0
31,training_data_singles/entry31.jpg,34.0,14.0
32,training_data_singles/entry32.jpg,32.0,14.0
33,training_data_singles/entry33.jpg,31.0,30.0
34,training_data_singles/entry34.jpg,32.0,30.0
35,training_data_singles/entry35.jpg,30.0,52.0
36,training_data_singles/entry36.jpg,35.0,38.0
37,training_data_singles/entry37.jpg,42.0,35.0
38,training_data_singles/entry38.jpg,40.0,29.0
39,training_data_singles/entry39.jpg,23.0,32.0
40,training_data_singles/entry40.jpg,24.0,33.0
41,training_data_singles/entry41.jpg,28.0,38.0
42,training_data_singles/entry42.jpg,31.0,27.0
43,training_data_singles/entry43.jpg,32.0,28.0
44,training_data_singles/entry44.jpg,41.0,51.0
45,training_data_singles/entry45.jpg,34.0,45.0
46,training_data_singles/entry46.jpg,35.0,31.0
47,training_data_singles/entry47.jpg,34.0,30.0
48,training_data_singles/entry48.jpg,29.0,15.0
49,training_data_singles/entry49.jpg,31.0,12.0
50,training_data_singles/entry50.jpg,30.0,47.0
51,training_data_singles/entry51.jpg,30.0,47.0
52,training_data_singles/entry52.jpg,31.0,29.0
53,training_data_singles/entry53.jpg,38.0,30.0
54,training_data_singles/entry54.jpg,31.0,31.0
55,training_data_singles/entry55.jpg,29.0,31.0
56,training_data_singles/entry56.jpg,29.0,35.0
57,training_data_singles/entry57.jpg,45.0,43.0
58,training_data_singles/entry58.jpg,31.0,30.0
59,training_data_singles/entry59.jpg,25.0,47.0
60,training_data_singles/entry60.jpg,13.0,64.0
61,training_data_singles/entry61.jpg,22.0,52.0
62,training_data_singles/entry62.jpg,30.0,36.0
63,training_data_singles/entry63.jpg,20.0,29.0
64,training_data_singles/entry64.jpg,20.0,30.0
65,training_data_singles/entry65.jpg,34.0,18.0
66,training_data_singles/entry66.jpg,37.0,16.0
67,training_data_singles/entry67.jpg,42.0,30.0
68,training_data_singles/entry68.jpg,40.0,36.0
69,training_data_singles/entry69.jpg,31.0,46.0
70,training_data_singles/entry70.jpg,22.0,30.0
71,training_data_singles/entry71.jpg,29.0,32.0
72,training_data_singles/entry72.jpg,40.0,32.0
73,training_data_singles/entry73.jpg,35.0,33.0
74,training_data_singles/entry74.jpg,29.0,12.0
75,training_data_singles/entry75.jpg,32.0,27.0
76,training_data_singles/entry76.jpg,30.0,30.0
77,training_data_singles/entry77.jpg,38.0,33.0
78,training_data_singles/entry78.jpg,34.0,33.0
79,training_data_singles/entry79.jpg,17.0,24.0
80,training_data_singles/entry80.jpg,15.0,24.0
81,training_data_singles/entry81.jpg,35.0,34.0
82,training_data_singles/entry82.jpg,25.0,36.0
83,training_data_singles/entry83.jpg,23.0,29.0
84,training_data_singles/entry84.jpg,28.0,32.0
85,training_data_singles/entry85.jpg,29.0,25.0
